nome,cep,endereco,bairro,horario_missa_domingo,horario_missa_segunda,horario_missa_terca,horario_missa_quarta,horario_missa_quinta,horario_missa_sexta,horario_missa_sabado,horario_confissoes
"Paróquia São Francisco de Assis, Quintino Cunha",60352-640,"Rua dos Pescadores, 145",Quintino Cunha,6h30min  | 8h  | 18h,19h,19h,19h,19h,19h,18h30min,
"Paróquia Santo Antônio de Pádua, Jardim Iracema",60341-140,"Rua Alberto Ferreira, 230",Jardim Iracema,8h | 16h30min | 19h,…,19h,19h,19h,19h,19h,
"Paróquia Santo Antônio de Pádua, Granja Portugal",60541-520,"Rua Taquari, 2231",Granja Portugal,7h | 17h | 19h , ,, ,19h ,, ,Terças e quintas-feiras das 9h30min às 11h.
"Paróquia Nossa Senhora Aparecida, Montese",60420-431,"Avenida Professor Gomes de Matos, 1921",Montese,7h  |  9h  |  17h  |  19h,,18h30min,18h30min,18h30min,18h30min,19h,
"Paróquia Nossa Senhora Mãe da Igreja, Padre Andrade",60356-575,"Rua Doutor Edson de Carvalho Lima, 377",Padre Andrade,7h | 9h | 17h , ,17h , , , ,17h,
"Paróquia Nossa Senhora de Fátima, Parque Genibaú",60534-090,"Rua Santa Adélia, 692",Parque Genibaú,,,,,,,,
"Paróquia Nossa Senhora do Perpétuo Socorro, Carlito Pamplona",60335-390,"Rua Cônsul Gouvêia, 44",Carlito Pamplona,7h | 9h | 19h , ,19h,19h,19h,19h,19h,Quintas-feiras e sextas-feiras de 8h30min às 11h e 14h30min às 16h.
"Paróquia Nossa Senhora de Fátima, Álvaro Weyne",60336-100,"Rua Silvio Romero, 370",Álvaro Weyne,7h | 17h, ,19h ,19h, ,19h,17h,"Sextas-feiras de 15h às 17h, na Matriz."
"Paróquia Nossa Senhora das Graças, Pirambu",60310-770,"Rua Nossa Senhora das Graças, 255",Pirambu,,,,,,,,
"Paróquia São João Paulo II, Conjunto Acaracuzinho, Maracanaú",61920-700,"Avenida Central Sul, 200",Conjunto Acaracuzinho, 7h | 19h, , , ,19h30min, , ,
"Paróquia São José, Centro, Maracanaú",61900-021,"Praça Major Brás, 5",Centro,7h | 17h | 19h, ,18h,18h,18h,18h,18h,Terças-feiras a sextas-feiras das 16h30min às 17h40min.
"Paróquia Santo Antônio de Pádua, Centro, Itaitinga",61880-000,"Praça da Matriz, s/n",Centro,8h | 19h, , ,19h, , ,19h,"Quarta-feira e quinta-feira de 15h às 17h, na Igreja Matriz."
"Paróquia São Pedro, Barra do Ceará",60332-240,"Rua Irmã Ana Maria, 10",Barra do Ceará,8h30min | 19h, , , ,19h, 15h, ,
"Paróquia São Francisco das Chagas, Conjunto Jereissati II, Pacatuba",61814-312,"Rua 73, 1121",Conjunto Jereissati II,7h  | 19h, , ,19h, , , ,Quarta-feira de 18h às 18h50min
"Paróquia Nossa Senhora da Penha, Centro, Maranguape",61940-140,"Rua Domingos Façanha, 107",Centro,7h | 9h | 19h, , ,19h, , ,19h,Quartas-feiras e quintas-feiras de 8h às 11h.
"Paróquia Nossa Senhora da Imaculada Conceição, Pavuna, Pacatuba",61870-972,"Rua Zuleide Sá Roriz, 330",Pavuna, 8h | 19h, , , , , , ,Quartas-feiras de 8h às 11h e 14h às 16h30min.
"Paróquia Nossa Senhora da Conceição, Tabatinga, Maranguape",61940-000,"Avenida Tabatinga, 1086",Tabatinga,7h | 19h, , , , , , ,Quartas-feiras e sextas-feiras de 8h às 12h.
"Paróquia Nossa Senhora da Conceição, Pajuçara, Maracanaú",61932-330,"Rua João Conrado, 308",Pajuçara,,,,,,,,"Quintas-feiras das 18h às 18h45min, na Igreja Nossa Senhora da Conceição."
"Paróquia Nossa Senhora da Conceição, Centro, Pacatuba",61801-240,"Rua Presidente Getúlio Vargas, 404",Centro,,,,,,,,Quartas-feiras das 8h às 11h e 14h às 16h.
"Paróquia Menino Jesus, Conjunto Industrial, Maracanaú",61925-210,"Avenida Contorno Sul, 42",Conjunto Industrial,7h | 9h |19h,Sem Celebrações,19h,19h,19h,19h,17h,
"Área Pastoral São João Batista, Jaçanaú, Maracanaú",61915-630,"Rua Oscar Ferreira de Brito, 120",Jaçanaú,7h | 9h  | 17  | 19h, ,19h,19h,19h,19h, ,"Quintas-feiras, às 17h."
"Paróquia Jesus, Maria, José, Centro, Guaiúba",61890-000,"Rua Antônio Accioly, 168",Centro,19h, ,19h ,19h,19h ,19h , ,
"Paróquia Nossa Senhora da Conceição, Conjunto Ceará",60533-695,"Avenida Ministro Albuquerque de Lima, 335 – I etapa",Conjunto Ceará,,,,,,,,
"Área Pastoral São Francisco de Assis, Água Verde, Guaiúba",61890-000,"Rua São Francisco, 500",Distrito de Água Verde,,,,,,,,"Criada em 30 de maio de 2023 por Dom Jose Antonio Aparecido Tosi Marques pelo decreto n° 001/2023, sendo desmembrada da Paróquia Jesus, Maria, José, Guaiúba."
"Paróquia Nossa Senhora do Perpétuo Socorro, Jereissati I, Maracanaú",61900-370,"Avenida 2, 50",Conjunto Jereissati I,7h | 10h | 19h, , ,18h, ,18h,19h,Quartas-feiras e sextas-feiras das 17h às 18h50min.
"Paróquia Jesus, Maria, José, Antônio Bezerra",60360-640,"Rua Rui Monte,  95",Antônio Bezerra,,,,,,,,
