nome,cep,endereco,bairro,horario_missa_domingo,horario_missa_segunda,horario_missa_terca,horario_missa_quarta,horario_missa_quinta,horario_missa_sexta,horario_missa_sabado,horario_confissoes
"Paróquia Nossa Senhora da Conceição, Centro, Guaramiranga",62766-000,"Praça Frei Honório, 331",Centro,9h | 18h30min, ,,,18h30min,18h30min,18h30min,Sextas-feiras de 8h às 11h e 14h às 17h.
"Paróquia Nossa Senhora da Conceição, Centro, Aracoiaba",62750-000,"Praça da Matriz, s/n",Centro,8h  | 19h, , , ,19h, ,,"Sextas-feiras de 9h às 11h, na secretaria paroquial."
"Paróquia Cristo Rei, Putiú, Baturité",62760-000,"Igreja Matriz Cristo Rei, s/n",Putiú,8h  |  19h, , , ,19h, ,,"Quartas-feiras e sextas-feiras de 9h às 11h, na secretaria paroquial."
"Paróquia-Santuário São Benedito, Centro",60015-052,"Avenida do Imperador, 1165",Centro,8h  |  17h,7h | 18h15min,7h | 18h15min,7h | 18h15min,7h | 18h15min,7h | 18h15min,7h | 17h,"Quartas-feiras e quintas-feiras das 15h30min às 17h.,Quintas-feiras, após a Missa das 18h15min.,12h"
"Santuário Sagrado Coração de Jesus, Centro",60035-110,"Avenida Duque de Caxias, 235 A",Centro,7h | 8h30min | 16h | 18h,7h | 16h,7h | 16h ,7h | 16h ,7h | 16h ,7h | 16h ,7h | 16h,"Terça a sexta, 8h30min às 10h.,Terça a sábado, 14h30min às 15h40min."
"Paróquia Senhor do Bonfim, Monte Castelo",60325-520,"Rua Padre Anchieta, 400",Monte Castelo,8h | 17h | 19h,,17h,17h,17h,17h,16h30min,Quintas-feiras e sextas-feiras de 15h às 17h.
"Paróquia São Vicente de Paulo, Dionísio Torres",60170-002,"Avenida Desembargador Moreira, 2211",Dionísio Torres,6h30min | 9h  | 11h30min  | 17h  |  19h,6h30min | 17h30min,6h30min | 17h30min,6h30min | 17h30min,6h30min | 17h30min,6h30min | 17h30min,6h30min | 12h | 17h,
"Paróquia São José, Catedral Metropolitana de Fortaleza, Centro",60030-030,"Rua Sobral, s/n",Centro,9h | 11h | 17h | 19h,Fechado,12h ,12h ,12h ,12h ,12h na Cripta,
"Paróquia São João Batista, Tauape",60120-075,"Rua Capitão Gustavo, 3940",Tauape,7h | 8h30min | 17h30min,6h | 17h,6h | 17h,6h | 17h,6h | 17h,6h | 17h,6h | 17h,"Quintas-feiras, sextas-feiras e aos domingos das 15h30min às 17h."
"Paróquia São Francisco de Assis, Jacarecanga",60010-280,"Avenida Filomeno Gomes, 291",Jacarecanga,6h | 8h | 19h, ,17h30min,19h,17h30min,17h30min,17h30min,"Quintas-feiras: 8h, 16h e 19h.,1h antes e após as missas na Igreja dos Navegantes e Santa Edwiges."
"Paróquia São Gerardo Majella, São Gerardo",60325-001,"Avenida Bezerra de Menezes, 1256",São Gerardo,8h | 17h | 19h,17h30min,17h30min,17h30min,17h30min,17h30min,18h ,
"Paróquia Santo Afonso de Ligório, Parquelândia",60455-410,"Avenida Jovita Feitosa, 2733",Parquelândia,7h | 8h30min | 18h,,18h,18h,18h,18h,19h ,
"Paróquia Santa Teresinha do Menino Jesus, Vicente Pinzon",60181-190,"Rua do Entardecer, 130",Vicente Pinzon,19h,19h,19h ,19h ,19h , ,19h,"Todos os dias de 18h às 19h, e após a missa, exceto às sextas-feiras."
"Paróquia Santa Luzia, Meireles",60110-300,"Rua João Cordeiro, 679",Meireles,8h | 10h | 17h | 19h, ,6h30min | 17h,6h30min | 17h,6h30min | 17h,6h30min | 17h,17h ,"José Lourenço Araújo Farias Júnior,José Vitoriano Antunes,José Lopes Cavalcante Júnior,José Haroldo Holanda Filho,Fernando Carlos Queiroz de Vasconcelos"
"Paróquia Nossa Senhora dos Remédios, Benfica",60020-181,"Avenida da Universidade, 2974",Benfica,7h | 17h | 19h,,17h30min,17h30min,17h30min,17h30min,17h,
"Paróquia Nossa Senhora do Carmo, Centro",60025-180,"Avenida Duque de Caxias, s/n, Praça do Carmo",Centro,8h | 10h  | 16h  | 18h, ,7h30min | 17h,7h30min | 17h,7h30min | 17h,7h30min | 17h,7h30min | 17h,Terças-feiras às sextas-feiras de 15h às 17h. (por ordem de chegada)
"Paróquia Nossa Senhora de Lourdes, Dunas",60177-115,"Avenida Padre Joaquim Colaço Dourado,  s/n – subsolo da igreja",De Lourdes,9h  |  11h  |  17h30min  |  19h30min, ,18h30min,18h30min,18h30min,18h30min,18h,
"Paróquia Nossa Senhora de Fátima, Fátima",60411-270,"Rua Paula Rodrigues, 100",Fátima,7h | 9h | 12h | 17h | 19h,6h30min | 12h | 17h,6h30min | 12h | 17h,6h30min | 12h | 17h,6h30min | 12h | 17h,6h30min | 12h | 17h,6h30min | 12h | 16h | 17h30min | 19h,"Terças-feiras a sextas-feiras das 15h30min às 17h, por ordem de chegada."
"Paróquia Nossa Senhora das Dores, Otávio Bonfim",60011-280,"Praça Farias Brito, s/n",Otávio Bonfim,6h30min | 9h | 17h | 19h, ,6h30min | 18h30min,,18h30min,18h30min,18h30min,Quintas-feiras e sextas-feiras de 14h30min às 17h. (por ordem de chegada)
"Paróquia São José, Papicu",60176-010,"Rua Amélia Benebien, 555",Papicu,8h  | 10h  | 18h,7h30min,18h,7h30min,18h,7h30min,19h,40 minutos antes das celebrações.
"Paróquia Nossa Senhora da Saúde, Mucuripe",60165-082,"Avenida da Abolição, 3929",Mucuripe,7h | 8h30min | 17h | 19h,,17h,17h,17h,17h,17h,
"Paróquia Nossa Senhora da Piedade, Joaquim Távora",60135-130,"Rua Joaquim Torres, 185",Joaquim Távora,7h | 9h | 17h | 19h,,17h,17h,17h | 19h,17h,18h,
"Paróquia Nossa Senhora da Paz, Aldeota",60125-160,"Rua Visconde de Mauá,  905",Aldeota,8h | 11h | 16h | 18h | 20h,16h | 18h,16h | 18h,16h | 18h,16h | 19h,16h | 18h,8h | 16h | 18h,
